 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.678024000000E+08      0.198900000000E+34      0.629412921000E+13     -0.292500665658E+14     -0.194149612868E+07     -0.417777772756E+06     -0.277303271581E-01      0.128868329232E+00
     1      0.684331200000E+08      0.198900000000E+34      0.506443157506E+13     -0.294878617341E+14     -0.195727996940E+07     -0.336155626931E+06     -0.223125931659E-01      0.129915994017E+00
     1      0.690638400000E+08      0.198900000000E+34      0.382585911465E+13     -0.296739828650E+14     -0.196963390533E+07     -0.253944407619E+06     -0.168557589613E-01      0.130735996179E+00
     1      0.696945600000E+08      0.198900000000E+34      0.258058228252E+13     -0.298081038031E+14     -0.197853628763E+07     -0.171288180390E+06     -0.113693870095E-01      0.131326898759E+00
     1      0.703252800000E+08      0.198900000000E+34      0.133078328102E+13     -0.298899895170E+14     -0.198397151593E+07     -0.883317906400E+05     -0.586309153739E-02      0.131687666271E+00
     1      0.709560000000E+08      0.198900000000E+34      0.786522370872E+11     -0.299194965116E+14     -0.198593006561E+07     -0.522060976261E+04     -0.346521685441E-03      0.131817666512E+00
     1      0.715867200000E+08      0.198900000000E+34     -0.117361663571E+13     -0.298965730794E+14     -0.198440850456E+07      0.778997195940E+05      0.517065540132E-02      0.131716671672E+00
     1      0.722174400000E+08      0.198900000000E+34     -0.242382888228E+13     -0.298212593910E+14     -0.197940949914E+07      0.160883538751E+06      0.106787715138E-01      0.131384858732E+00
     1      0.728481600000E+08      0.198900000000E+34     -0.366979365153E+13     -0.296936874249E+14     -0.197094180952E+07      0.243585428246E+06      0.161681743211E-01      0.130822809157E+00
     1      0.734788800000E+08      0.198900000000E+34     -0.490932753558E+13     -0.295140807361E+14     -0.195902027434E+07      0.325860462669E+06      0.216292442854E-01      0.130031507874E+00
     1      0.741096000000E+08      0.198900000000E+34     -0.614025839591E+13     -0.292827540644E+14     -0.194366578470E+07      0.407564464622E+06      0.270524115188E-01      0.129012341546E+00
     1      0.747403200000E+08      0.198900000000E+34     -0.736042916983E+13     -0.290001127827E+14     -0.192490524756E+07      0.488554257373E+06      0.324281725536E-01      0.127767096142E+00
     1      0.753710400000E+08      0.198900000000E+34     -0.856770165041E+13     -0.286666521871E+14     -0.190277153857E+07      0.568687915764E+06      0.377471069959E-01      0.126297953812E+00
     1      0.760017600000E+08      0.198900000000E+34     -0.975996023350E+13     -0.282829566282E+14     -0.187730344448E+07      0.647825014906E+06      0.429998940339E-01      0.124607489055E+00
     1      0.766324800000E+08      0.198900000000E+34     -0.109351156251E+14     -0.278496984878E+14     -0.184854559515E+07      0.725826876270E+06      0.481773287713E-01      0.122698664215E+00
     1      0.772632000000E+08      0.198900000000E+34     -0.120911085024E+14     -0.273676370003E+14     -0.181654838537E+07      0.802556810695E+06      0.532703383581E-01      0.120574824284E+00
     1      0.778939200000E+08      0.198900000000E+34     -0.132259131228E+14     -0.268376169222E+14     -0.178136788650E+07      0.877880357925E+06      0.582699978894E-01      0.118239691044E+00
     1      0.785246400000E+08      0.198900000000E+34     -0.143375408737E+14     -0.262605670519E+14     -0.174306574827E+07      0.951665522234E+06      0.631675460454E-01      0.115697356544E+00
     1      0.791553600000E+08      0.198900000000E+34     -0.154240437571E+14     -0.256374986018E+14     -0.170170909072E+07      0.102378300373E+07      0.679544004446E-01      0.112952275929E+00
     1      0.797860800000E+08      0.198900000000E+34     -0.164835178035E+14     -0.249695034269E+14     -0.165737038655E+07      0.109410642495E+07      0.726221726837E-01      0.110009259632E+00
     1      0.804168000000E+08      0.198900000000E+34     -0.175141064083E+14     -0.242577521107E+14     -0.161012733418E+07      0.116251255230E+07      0.771626830365E-01      0.106873464947E+00
     1      0.810475200000E+08      0.198900000000E+34     -0.185140035851E+14     -0.235034919144E+14     -0.156006272154E+07      0.122888151202E+07      0.815679747888E-01      0.103550386987E+00
     1      0.816782400000E+08      0.198900000000E+34     -0.194814571310E+14     -0.227080445909E+14     -0.150726428103E+07      0.129309700027E+07      0.858303281811E-01      0.100045849060E+00
     1      0.823089600000E+08      0.198900000000E+34     -0.204147716964E+14     -0.218728040689E+14     -0.145182453575E+07      0.135504648688E+07      0.899422739367E-01      0.963659924584E-01
     1      0.829396800000E+08      0.198900000000E+34     -0.213123117564E+14     -0.209992340100E+14     -0.139384063740E+07      0.141462141262E+07      0.938966063507E-01      0.925172657028E-01
