 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.788403153599E+08      0.198900000000E+34     -0.148667598713E+14     -0.259731193895E+14     -0.172334153773E+07      0.986387747811E+06      0.654507765600E-01      0.114346424402E+00
     1      0.794710353599E+08      0.198900000000E+34     -0.159403790858E+14     -0.253284369769E+14     -0.168056441603E+07      0.105762399652E+07      0.701771492157E-01      0.111507856342E+00
     1      0.801017553599E+08      0.198900000000E+34     -0.169860862913E+14     -0.246394017668E+14     -0.163484458610E+07      0.112700809692E+07      0.747806202580E-01      0.108474060199E+00
     1      0.807324753599E+08      0.198900000000E+34     -0.180020504334E+14     -0.239072204122E+14     -0.158626211614E+07      0.119441857149E+07      0.792531313256E-01      0.105250348340E+00
     1      0.813631953599E+08      0.198900000000E+34     -0.189864925455E+14     -0.231331751064E+14     -0.153490208542E+07      0.125973739862E+07      0.835868532716E-01      0.101842365497E+00
     1      0.819939153599E+08      0.198900000000E+34     -0.199376888626E+14     -0.223186213372E+14     -0.148085443531E+07      0.132285021910E+07      0.877741998607E-01      0.982560788950E-01
     1      0.826246353599E+08      0.198900000000E+34     -0.208539738391E+14     -0.214649855141E+14     -0.142421381194E+07      0.138364653633E+07      0.918078410409E-01      0.944977678226E-01
     1      0.832553553599E+08      0.198900000000E+34     -0.217337430643E+14     -0.205737624706E+14     -0.136507940052E+07      0.144201990965E+07      0.956807157699E-01      0.905740126515E-01
     1      0.838860753599E+08      0.198900000000E+34     -0.225754560707E+14     -0.196465128467E+14     -0.130355475173E+07      0.149786814067E+07      0.993860443714E-01      0.864916833312E-01
     1      0.845167953599E+08      0.198900000000E+34     -0.233776390312E+14     -0.186848603568E+14     -0.123974760053E+07      0.155109345216E+07      0.102917340400E+00      0.822579273767E-01
     1      0.851475153599E+08      0.198900000000E+34     -0.241388873387E+14     -0.176904889465E+14     -0.117376967757E+07      0.160160265916E+07      0.106268421996E+00      0.778801573705E-01
     1      0.857782353599E+08      0.198900000000E+34     -0.248578680650E+14     -0.166651398445E+14     -0.110573651367E+07      0.164930733218E+07      0.109433422706E+00      0.733660380003E-01
     1      0.864089553599E+08      0.198900000000E+34     -0.255333222947E+14     -0.156106085140E+14     -0.103576723762E+07      0.169412395190E+07      0.112406801757E+00      0.687234726558E-01
     1      0.870396753599E+08      0.198900000000E+34     -0.261640673285E+14     -0.145287415091E+14     -0.963984367655E+06      0.173597405550E+07      0.115183353754E+00      0.639605896066E-01
     1      0.876703953599E+08      0.198900000000E+34     -0.267489987540E+14     -0.134214332418E+14     -0.890513597030E+06      0.177478437394E+07      0.117758217804E+00      0.590857277858E-01
     1      0.883011153599E+08      0.198900000000E+34     -0.272870923795E+14     -0.122906226654E+14     -0.815483574031E+06      0.181048696032E+07      0.120126886027E+00      0.541074222053E-01
     1      0.889318353599E+08      0.198900000000E+34     -0.277774060264E+14     -0.111382898796E+14     -0.739025676791E+06      0.184301930881E+07      0.122285211459E+00      0.490343890255E-01
     1      0.895625553599E+08      0.198900000000E+34     -0.282190811794E+14     -0.996645266382E+13     -0.661273783328E+06      0.187232446416E+07      0.124229415314E+00      0.438755103083E-01
     1      0.901932753598E+08      0.198900000000E+34     -0.286113444889E+14     -0.877716294406E+13     -0.582364037209E+06      0.189835112141E+07      0.125956093616E+00      0.386398184781E-01
     1      0.908239953598E+08      0.198900000000E+34     -0.289535091258E+14     -0.757250320071E+13     -0.502434609228E+06      0.192105371582E+07      0.127462223167E+00      0.333364805182E-01
     1      0.914547153598E+08      0.198900000000E+34     -0.292449759833E+14     -0.635458282215E+13     -0.421625455539E+06      0.194039250260E+07      0.128745166850E+00      0.279747819307E-01
     1      0.920854353598E+08      0.198900000000E+34     -0.294852347264E+14     -0.512553441156E+13     -0.340078072653E+06      0.195633362667E+07      0.129802678259E+00      0.225641104880E-01
     1      0.927161553598E+08      0.198900000000E+34     -0.296738646853E+14     -0.388751005291E+13     -0.257935249722E+06      0.196884918187E+07      0.130632905648E+00      0.171139398030E-01
     1      0.933468753598E+08      0.198900000000E+34     -0.298105355919E+14     -0.264267754287E+13     -0.175340818565E+06      0.197791725998E+07      0.131234395182E+00      0.116338127482E-01
     1      0.939775953598E+08      0.198900000000E+34     -0.298950081584E+14     -0.139321659517E+13     -0.924394018477E+05      0.198352198911E+07      0.131606093501E+00      0.613332475175E-02
     1      0.946083153598E+08      0.198900000000E+34     -0.299271344961E+14     -0.141315023976E+12     -0.937615987258E+04      0.198565356153E+07      0.131747349580E+00      0.622107000159E-03
     1      0.952390353598E+08      0.198900000000E+34     -0.299068583747E+14      0.111083508686E+13      0.737034635789E+05      0.198430825095E+07      0.131657915879E+00     -0.489019042353E-02
     1      0.958697553598E+08      0.198900000000E+34     -0.298342153204E+14      0.236104122213E+13      0.156653995915E+06      0.197948841909E+07      0.131337948796E+00     -0.103939154359E-01
     1      0.965004753598E+08      0.198900000000E+34     -0.297093325542E+14      0.360711427439E+13      0.239330190458E+06      0.197120251165E+07      0.130788008405E+00     -0.158794308548E-01
     1      0.971311953598E+08      0.198900000000E+34     -0.295324287692E+14      0.484687237714E+13      0.321587280788E+06      0.195946504353E+07      0.130009057495E+00     -0.213371312760E-01
     1      0.977619153598E+08      0.198900000000E+34     -0.293038137474E+14      0.607814472539E+13      0.403281234249E+06      0.194429657353E+07      0.129002459892E+00     -0.267574598964E-01
     1      0.983926353598E+08      0.198900000000E+34     -0.290238878175E+14      0.729877537687E+13      0.484269004181E+06      0.192572366839E+07      0.127769978094E+00     -0.321309252531E-01
     1      0.990233553598E+08      0.198900000000E+34     -0.286931411540E+14      0.850662702730E+13      0.564408780440E+06      0.190377885636E+07      0.126313770190E+00     -0.374481178500E-01
